s	r	d	f	mean	sd
0.01	0.0001	10	0.7	1345199	666280.143190235
0.01	0.0001	10	0.75	1036302	465526.497793198
0.01	0.0001	10	0.8	1300858	686554.318012202
0.01	0.0001	10	0.85	831389.6	176024.166133631
0.01	0.0001	10	0.9	1181788.6	1087277.41690382
0.01	0.0001	10	0.95	740291.6	664241.218456548
0.01	0.0001	10	1	728354	579016.98531632
0.01	0.0001	10	1.05	907422.8	254012.058581005
0.01	0.0001	10	1.1	1140983	559103.522373093
0.01	0.0001	10	1.15	912989.6	423409.802923173
0.01	0.0001	10	1.2	889412.5	434403.799661962
0.01	0.0001	10	1.25	836239.6	559785.754741437
0.01	0.0001	10	1.3	530842.6	312583.597122178
0.01	0.0001	10	1.35	693820	297293.789051167
0.01	0.0001	10	1.4	601382.4	249160.16705533
0.01	0.0001	10	1.45	594522.4	165482.583932691
0.01	0.0001	10	1.5	642068.2	362800.991137786
0.01	0.001	1	0.1	5000001	0
0.01	0.001	1	0.15	5000001	0
0.01	0.001	1	0.2	5000001	0
0.01	0.001	1	0.25	5000001	0
0.01	0.001	1	0.3	5000001	0
0.01	0.001	1	0.35	5000001	0
0.01	0.001	1	0.4	5000001	0
0.01	0.001	1	0.45	5000001	0
0.01	0.001	1	0.5	na	na
0.01	0.001	1	0.55	na	na
0.01	0.001	1	0.6	na	na
0.01	0.001	1	0.65	3535728.8	140547.573596131
0.01	0.001	1	0.7	3460552.8	181594.250093333
0.01	0.001	1	0.75	3190831.2	504816.031719437
0.01	0.001	1	0.8	2863794.4	493193.607576822
0.01	0.001	1	0.85	2460383.6	346973.029768367
0.01	0.001	1	0.9	2521187.8	365741.355077273
0.01	0.001	1	0.95	2281092.4	166508.264883879
0.01	0.001	1	1	2282595.2	426020.411971727
0.01	0.001	1	1.05	1813576	254388.769478529
0.01	0.001	1	1.1	1672917	403643.551552604
0.01	0.001	1	1.15	1592171.2	270698.399465087
0.01	0.001	1	1.2	1399175.2	430066.443154264
0.01	0.001	1	1.25	1212833.2	460668.341735527
0.01	0.001	1	1.3	928097	138086.543345831
0.01	0.001	1	1.35	1658906.2	377154.484943451
0.01	0.001	1	1.4	1458124.4	385249.293579417
0.01	0.001	1	1.45	1253787	431671.304384714
0.01	0.001	1	1.5	1413109.2	498654.765057509
0.01	0.001	2	0.1	5000001	0
0.01	0.001	2	0.15	5000001	0
0.01	0.001	2	0.2	5000001	0
0.01	0.001	2	0.25	5000001	0
0.01	0.001	2	0.3	4787419.2	207454.579397419
0.01	0.001	2	0.35	3620802.4	544715.367907167
0.01	0.001	2	0.4	3049251.2	545094.164890948
0.01	0.001	2	0.45	2721042.6	360050.921279532
0.01	0.001	2	0.5	2496671.2	411438.471791543
0.01	0.001	2	0.55	1881892.8	347932.168172706
0.01	0.001	2	0.6	1850994	340994.110264092
0.01	0.001	2	0.65	1439491.8	317824.84942899
0.01	0.001	2	0.7	1339016.2	311272.728286562
0.01	0.001	2	0.75	1241131.4	533075.136135461
0.01	0.001	2	0.8	870404.2	342458.59322575
0.01	0.001	2	0.85	727743	137168.43013026
0.01	0.001	2	0.9	801942.6	220020.424316108
0.01	0.001	2	0.95	764370.8	233937.083950707
0.01	0.001	2	1	651747.2	372658.835568084
0.01	0.001	2	1.05	601820.4	265262.170897096
0.01	0.001	2	1.1	633694	490457.647530141
0.01	0.001	2	1.15	735556.4	351278.719292018
0.01	0.001	2	1.2	379880.6	229664.687908786
0.01	0.001	2	1.25	682615.2	327576.391532967
0.01	0.001	2	1.3	468641.8	127452.779111952
0.01	0.001	2	1.35	283354.4	172408.929890073
0.01	0.001	2	1.4	525244.2	430828.179053042
0.01	0.001	2	1.45	435493.2	242920.077075074
0.01	0.001	2	1.5	417477.4	221490.947169946
0.01	0.001	3	0.1	5000001	0
0.01	0.001	3	0.15	5000001	0
0.01	0.001	3	0.2	4779805	222378.037962385
0.01	0.001	3	0.25	3682527.6	322964.622739148
0.01	0.001	3	0.3	3060547.2	303888.923458819
0.01	0.001	3	0.35	2098924	426551.822262665
0.01	0.001	3	0.4	1912170.4	259709.047646477
0.01	0.001	3	0.45	1472677.4	243211.781694555
0.01	0.001	3	0.5	1778573	575365.717269286
0.01	0.001	3	0.55	1043431.2	213587.182892045
0.01	0.001	3	0.6	1307441.6	563828.855639936
0.01	0.001	3	0.65	882136.6	327703.467260632
0.01	0.001	3	0.7	859892	347856.719990286
0.01	0.001	3	0.75	547342.2	210212.240497455
0.01	0.001	3	0.8	493647.8	170331.843316979
0.01	0.001	3	0.85	364994.6	88867.2957000493
0.01	0.001	3	0.9	424624.4	222741.968082892
0.01	0.001	3	0.95	307012.8	191626.436146373
0.01	0.001	3	1	391320.2	105611.594415386
0.01	0.001	3	1.05	391575.4	207833.017597878
0.01	0.001	3	1.1	310261.8	189051.4662936
0.01	0.001	3	1.15	516722.8	356474.924626908
0.01	0.001	3	1.2	137345.6	52584.6478721689
0.01	0.001	3	1.25	408113	130385.975146102
0.01	0.001	3	1.3	294476.4	169364.231553891
0.01	0.001	3	1.35	206044	140278.924193194
0.01	0.001	3	1.4	450379.8	270643.686131711
0.01	0.001	3	1.45	404960.4	207050.762578262
0.01	0.001	3	1.5	394844	236817.662273742
0.01	0.001	4	0.1	5000001	0
0.01	0.001	4	0.15	5000001	0
0.01	0.001	4	0.2	3637816	694630.293951538
0.01	0.001	4	0.25	2654674.6	241228.758891306
0.01	0.001	4	0.3	2125095	256017.587495078
0.01	0.001	4	0.35	1496697.4	295733.801622067
0.01	0.001	4	0.4	1458537.6	392133.158964452
0.01	0.001	4	0.45	1074806.2	218171.069064989
0.01	0.001	4	0.5	1016254.2	353321.350866545
0.01	0.001	4	0.55	1125939.4	439484.413060395
0.01	0.001	4	0.6	513216.8	204993.168338264
0.01	0.001	4	0.65	483187	204733.15111823
0.01	0.001	4	0.7	502005.4	173331.900126434
0.01	0.001	4	0.75	371903.8	82631.6919865496
0.01	0.001	4	0.8	341140.2	193234.87276721
0.01	0.001	4	0.85	492809.8	259873.170827156
0.01	0.001	4	0.9	250828.8	102444.415653368
0.01	0.001	4	0.95	588568.8	308906.382288486
0.01	0.001	4	1	236663	120124.151336856
0.01	0.001	4	1.05	226558.8	117725.988297232
0.01	0.001	4	1.1	257112.4	125371.863844485
0.01	0.001	4	1.15	305092.8	247339.132642936
0.01	0.001	4	1.2	203852.2	131647.956603056
0.01	0.001	4	1.25	301936.8	224249.916194767
0.01	0.001	4	1.3	384672.8	247777.198562257
0.01	0.001	4	1.35	241629	119513.721309312
0.01	0.001	4	1.4	110312.4	88804.5422613055
0.01	0.001	4	1.45	183805.8	44690.2625340241
0.01	0.001	4	1.5	199406	94570.2978677766
0.01	0.001	5	0.1	5000001	0
0.01	0.001	5	0.15	4407519.6	489369.411778709
