s	r	d	f	mean	sd
0.01	0.001	6	0.9	12.0288	2.98361005495021
0.01	0.001	6	0.95	11.7408	3.05218101691233
0.01	0.001	6	1	9.5316	1.82761370097732
0.01	0.001	6	1.05	10.6104	2.13707328840169
0.01	0.001	6	1.1	11.3452	3.30468554631148
0.01	0.001	6	1.15	9.5488	5.66992636283753
0.01	0.001	6	1.2	8.4624	1.14985244270732
0.01	0.001	6	1.25	7.7984	1.6798387541666
0.01	0.001	6	1.3	6.7564	1.77411133810705
0.01	0.001	6	1.35	7.1188	1.45856126371161
0.01	0.001	6	1.4	6.3744	1.43332865735671
0.01	0.001	6	1.45	7.1096	2.33941031886243
0.01	0.001	6	1.5	6.7628	1.63486640432789
0.01	0.001	7	0.1	40.1116	1.35551460338869
0.01	0.001	7	0.15	41.414	0.427803693298691
0.01	0.001	7	0.2	41.8364	1.27219331864304
0.01	0.001	7	0.25	42.8888	0.848585269728387
0.01	0.001	7	0.3	29.7372	1.89571077962858
0.01	0.001	7	0.35	19.8848	5.63361008235394
0.01	0.001	7	0.4	20.5684	1.92003891627227
0.01	0.001	7	0.45	20.7848	3.69837447536076
0.01	0.001	7	0.5	16.4492	4.43817198404929
0.01	0.001	7	0.55	19.3792	3.57003498022078
0.01	0.001	7	0.6	17.8932	1.63890285252055
0.01	0.001	7	0.65	14.1276	3.64753887436447
0.01	0.001	7	0.7	12.798	1.77178554006968
0.01	0.001	7	0.75	11.9944	1.57140518008565
0.01	0.001	7	0.8	11.826	2.18128475903537
0.01	0.001	7	0.85	10.3908	1.65197704584537
0.01	0.001	7	0.9	10.2048	2.54808244764568
0.01	0.001	7	0.95	11.002	3.21414473849576
0.01	0.001	7	1	9.5608	2.60715096609306
0.01	0.001	7	1.05	7.3976	2.30053503342157
0.01	0.001	7	1.1	9.4316	1.54132379466483
0.01	0.001	7	1.15	8.2092	1.8033353986433
0.01	0.001	7	1.2	8.7908	2.2699556295223
0.01	0.001	7	1.25	8.736	3.03880371198931
0.01	0.001	7	1.3	7.4816	2.34373425114709
0.01	0.001	7	1.35	6.256	1.05195056918089
